date,juliandate,a0620Cal,merr1
100506,2455323.46931,18.846249999999998,0.051
100508,2455325.46773,18.94,0.018
100510,2455327.45927,19.1455,0.035
100827,2455436.88295,18.87475,0.037
100830,2455439.86443,18.49475,0.024
100906,2455446.87014,19.09375,0.017
100907,2455447.90784,18.92975,0.031
100908,2455448.87998,18.93825,0.014
100914,2455454.86507,18.7065,0.012
100915,2455455.84921,18.95875,0.02
100916,2455456.87818,19.114,0.016
100918,2455458.88327,19.031000000000002,0.015
100919,2455459.85089,18.947499999999998,0.03
100922,2455462.87178,18.9785,0.044
100928,2455468.84179,18.965,0.035
100930,2455470.85234,18.94875,0.028
101002,2455472.81327,19.0595,0.02
101005,2455475.81564,18.997249999999998,0.016
101007,2455477.82572,19.02575,0.014
101009,2455479.78717,18.8325,0.014
101011,2455481.78852,18.8415,0.013
101013,2455483.81427,18.826749999999997,0.015
101015,2455485.79215,18.9135,0.015
101017,2455487.81907,18.731250000000003,0.013
101019,2455489.78742,18.991,0.033
101020,2455490.79157,18.991999999999997,0.038
101021,2455491.78823,18.752499999999998,0.034
101022,2455492.78142,18.567500000000003,0.037
101023,2455493.79772,18.780749999999998,0.046
101024,2455494.78526,18.892249999999997,0.047
101025,2455495.81512,18.8925,0.038
101026,2455496.83762,18.86725,0.033
101029,2455499.79812,19.07575,0.025
101031,2455501.81029,19.0125,0.018
101101,2455502.79865,18.97675,0.013
101102,2455503.72983,18.941249999999997,0.014
101104,2455505.67306,19.0925,0.019
101105,2455506.72662,19.0925,0.015
101108,2455509.78571,18.911,0.012
101109,2455510.77313,19.06775,0.015
101110,2455511.73501,18.95,0.014
101111,2455512.83671,18.8995,0.014
101112,2455513.64919,18.81225,0.025
101113,2455514.73663,18.782999999999998,0.012
101114,2455515.77291,19.1235,0.016
101115,2455516.75537,19.1005,0.019
101116,2455517.72019,19.13575,0.03
101117,2455518.64812,18.943749999999998,0.046
101118,2455519.68195,18.753249999999998,0.036
101120,2455521.64625,18.92425,0.083
101121,2455522.65627,18.64125,0.07
101122,2455523.74072,18.7715,0.045
101123,2455524.73433,18.9345,0.068
101124,2455525.74177,19.077,0.055
101125,2455526.79972,18.99775,0.036
101126,2455527.81050,18.901749999999996,0.028
101127,2455528.69099,18.9225,0.017
101128,2455529.73189,18.9365,0.017
101129,2455530.61557,19.075499999999998,0.018
101130,2455531.61185,18.8235,0.014
101201,2455532.65362,18.942999999999998,0.015
101202,2455533.60425,19.052249999999997,0.016
101203,2455534.61747,18.887500000000003,0.015
101206,2455537.72041,18.697,0.011
101207,2455538.68726,18.893749999999997,0.013
101208,2455539.65482,18.988500000000002,0.015
101209,2455540.59441,18.64925,0.013
101210,2455541.62660,19.08475,0.018
101211,2455542.60225,19.05025,0.024
101211,2455542.71784,18.99625,0.014
101212,2455543.59628,19.255499999999998,0.033
101212,2455543.70280,19.209500000000002,0.016
101212,2455543.82370,19.022,0.016
